special_terms,model,rank,similarity,case_id,judgment_summary
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,11,0.6916773319244385,197934,
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,12,0.6914762854576111,192307,"[1] 동시이행의 항변권은 근본적으로 공평의 관념에 따라 인정되는 것인데, 임차인이 불이행한 원상회복의무가 사소한 부분이고 그로 인한 손해배상액 역시 근소한 금액인 경우에까지 임대인이 그를 이유로, 임차인이 그 원상회복의무를 이행할 때까지, 혹은 임대인이 현실로 목적물의 명도를 받을 때까지 원상회복의무 불이행으로 인한 손해배상액 부분을 넘어서서 거액의 잔존 임대차보증금 전액에 대하여 그 반환을 거부할 수 있다고 하는 것은 오히려 공평의 관념에 반하는 것이 되어 부당하고, 그와 같은 임대인의 동시이행의 항변은 신의칙에 반하는 것이 되어 허용할 수 없다. [2] 임차인이 금 326,000원이 소요되는 전기시설의 원상회복을 하지 아니한 채 건물의 명도 이행을 제공한 경우, 임대인이 이를 이유로 금 125,226,670원의 잔존 임대차보증금 전액의 반환을 거부할 동시이행의 항변권을 행사할 수 없다고 한 사례."
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,13,0.691163182258606,606173,"[1] 임대차계약 종료로 발생한 임차인의 목적물 반환의무와 임차인의 부속물매수청구권 행사로 발생한 임대인의 부속물 매매대금 지급의무는 동시이행관계에 있으므로, 임대인이 부속물 매매대금 지급의무를 이행하거나 적법하게 이행제공을 하는 등으로 임차인의 동시이행항변권을 상실시키지 않은 이상, 임차인이 적법한 부속물매수청구권 행사 후에 목적물을 계속 점유하는 것을 불법점유라고 할 수 없고 임차인은 이에 대한 손해배상의무를 지지 않는다. [2] 상계의 의사표시에 의하여 각 채무는 상계할 수 있는 때에 대등액에 관하여 소멸한 것으로 보게 되지만(민법 제493조 제2항), 이러한 상계의 소급효는 양 채권 및 이에 관한 이자나 지연손해금 등을 정산하는 기준시기를 소급하는 것일 뿐이고 특별한 사정이 없는 한 상계의 의사표시 전에 이미 발생한 사실을 복멸시키지는 아니한다. [3] 甲 시설관리공단이 乙 주식회사를 상대로 임대차계약이 종료 후에도 임대목적물인 건물 부분을 불법점유하고 있다며 건물 부분의 인도와 함께 임대차계약에서 월 차임의 1.3배로 정한 손해배상 예정액의 지급을 구하자, 乙 회사가 준비서면의 송달로 부속물매수청구권을 행사한다는 의사표시를 하고, 甲 공단도 준비서면의 송달로 乙 회사의 불법점유로 인한 甲 공단의 손해배상채권을 자동채권으로 하여 乙 회사의 부속물 매매대금 채권과 대등액에서 상계한다는 의사표시를 한 사안에서, 乙 회사가 준비서면 송달로 부속물매수청구권을 행사하여 甲 공단과 乙 회사 사이에 부속물에 관한 매매계약이 체결되었고, 이에 따라 甲 공단이 乙 회사에 대해 부속물 매매대금 지급의무를 부담하게 되었으므로, 甲 공단이 부속물 매매대금 지급의무를 이행하거나 적법하게 이행의 제공을 하는 등으로 동시이행항변권을 상실시키지 않는 한 乙 회사가 부속물매수청구권 행사 후 건물 부분을 계속 점유하는 것을 불법점유라고 할 수 없고, 乙 회사의 부속물매수청구권 행사 후에 甲 공단이 乙 회사의 부속물 매매대금 채권을 乙 회사의 불법점유로 인한 甲 공단의 손해배상채권과 상계하는 의사를 표시하여 乙 회사의 부속물 매매대금 채권이 소멸된다고 하더라도, 양 채권을 정산하는 기준시기가 상계적상이 있었던 때인 부속물 매매대금 채권 발생 시점으로 소급하는 것일 뿐, 상계의 의사표시 이전까지 존재하였던 甲 공단의 부속물 매매대금 지급의무와 乙 회사의 건물 부분 인도의무 사이의 동시이행관계가 상계적상이 있었던 시기로 소급하여 소멸되고 이로 인해 乙 회사의 건물 부분 인도의무가 그때부터 이행지체에 빠지게 된다거나 건물 부분에 대한 乙 회사의 점유가 소급하여 불법점유가 된다고 할 수 없는데도, 상계의 소급효에 의해 동시이행관계 내지 점유권원이 소급하여 상실됨을 전제로 하여 乙 회사의 부속물매수청구권 행사 의사가 표시된 준비서면이 甲 공단에 송달된 날부터 甲 공단의 상계의 의사가 표시된 준비서면이 乙 회사에 송달된 날까지 乙 회사의 건물 부분에 대한 점유를 불법점유로 보아 乙 회사는 甲 공단에 위 기간 동안 월 차임 상당의 부당이득을 초과하여 임대차계약에서 정한 월 차임의 1.3배 상당의 손해배상 예정액을 지급할 의무가 있다고 본 원심판단에 법리오해의 잘못이 있다고 한 사례."
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,14,0.6910518407821655,200802,"주택임대차보호법 제7조의 규정은 임대차계약의 존속중 당사자 일방이 약정한 차임 등의 증감을 청구한 때에 한하여 적용되고, 임대차계약이 종료된 후 재계약을 하거나 또는 임대차계약 종료 전이라도 당사자의 합의로 차임 등이 증액된 경우에는 적용되지 않는다."
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,15,0.6896845102310181,120951,"임대차계약서상 ""시설투자비를 인정한다.""라는 특약을 제반 사정에 비추어 임대인이 계약종료시 시설비를 임차인에게 반환하기로 하는 취지의 약정이 아니라 임차인이 새로운 임차인으로부터 시설투자비를 회수해 가는 것을 임대인이 허용해 준다는 취지라고 본 사례"
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,16,0.6892129778862,241025,"[1] 법률행위의 해석은 당사자가 그 표시행위에 부여한 객관적인 의미를 명백하게 확정하는 것으로서, 사용된 문언에만 구애받는 것은 아니지만, 어디까지나 당사자의 내심의 의사가 어떤지에 관계없이 그 문언의 내용에 의하여 당사자가 그 표시행위에 부여한 객관적 의미를 합리적으로 해석하여야 한다. 당사자가 표시한 문언에 의하여 그 객관적인 의미가 명확하게 드러나지 않는 경우에는 그 문언의 형식과 내용, 그 법률행위가 이루어진 동기 및 경위, 당사자가 그 법률행위에 의하여 달성하려는 목적과 진정한 의사, 거래의 관행 등을 종합적으로 고려하여, 사회정의와 형평의 이념에 맞도록 논리와 경험의 법칙, 그리고 사회일반의 상식과 거래의 통념에 따라 합리적으로 해석하여야 한다. [2] 甲 등이 乙에게 甲 등이 소유하는 상가건물을 임대하면서 계약서에 ‘계약의 해지 성립 여부에 쌍방 간 이견이 있을 경우 법원의 판결에 따르되 최종 판결 전까지 임대인과 임차인의 권리와 의무는 유지되는 것으로 한다.’는 내용을 특약으로 정하였는데, 乙이 甲 등에게 차임과 관리비 등을 납부하지 않자, 甲 등이 乙을 상대로 임대차계약을 해지한다고 주장하면서 건물의 인도 및 연체차임 등의 지급을 구한 사안에서, 통상의 임대차계약이 기간만료나 해지 등으로 종료한 경우에는 임대인의 임대차보증금 반환과 임차인의 임차목적물 반환을 동시에 이행하는 방식으로 임대차 관계를 청산하므로, 위 특약의 앞부분인 ""계약의 해지 성립 여부에 쌍방 간 이견이 있을 경우 법원의 판결에 따른다."" 부분의 의미는 임대인과 임차인 중 일방이 위 임대차계약의 해지를 원인으로 하여 상대방을 상대로 임대차 관계의 청산을 소구하는 경우, 그 소송에서의 법원의 판결에 따라 임대차 관계를 존속하거나 청산하겠다는 취지로 해석되는데, 위 특약의 뒷부분인 ""최종 판결 전까지는 임대인과 임차인의 권리와 의무는 유지되는 것으로 한다."" 부분으로 말미암아 乙이 판결 확정시까지 甲 등의 임차목적물 반환청구를 거절할 수 있다고 해석하게 되면, 위 임대차계약이 적법하게 해지되었다고 판단하더라도 甲 등의 위 건물 인도청구를 기각할 수밖에 없는바, 이는 법원이 임대차가 종료되었다고 판단하였음에도 임대차 관계가 청산되지 못하는 결과가 되어 부당할 뿐만 아니라, 계약당사자가 위 특약의 앞부분을 통해 달성하려는 ‘재판절차를 통한 임대차 관계 청산’이라는 목적에 부합하지 않는 점, 임대인의 임차목적물 반환청구를 거절할 수 있는 임차인의 권능은 임대차 관계가 존속함을 전제로 인정되는 것이 통상적이므로, 임차인이 임대차 종료 이후에도 임대차 관계의 존속을 전제로 하는 사용수익권을 갖는다는 의미로 위 특약을 해석하는 것은 계약당사자의 진정한 의사는 물론 일반적인 거래의 관행에도 부합하지 않는 점, 위 특약 중 ""최종 판결 전까지는 임대인과 임차인의 권리와 의무는 유지되는 것으로 한다."" 부분을 위 임대차계약의 해지 여부가 다투어지는 판결 확정시까지 임차인이 임대인의 임차목적물 반환청구를 거절할 수 있는 권능을 가진다는 의미로 해석할 경우, 임대인인 甲 등으로서는 위 건물의 인도청구 부분에 관하여 청구기각 확정판결을 받은 다음 재차 乙을 상대로 임차목적물의 반환을 구하는 소를 제기하여야 하므로 분쟁의 일회적 해결 및 소송경제에 반할 뿐만 아니라, 재판절차를 거쳤음에도 그 법적 지위가 여전히 불안정한 상태에 놓이게 되어 당사자가 임대차 관계를 위와 같이 비효율적이고 불안정한 방식으로 청산하기로 약정하였다고 해석하는 것은 거래의 통념과 경험칙에 반하는 점 등에 비추어, ""최종 판결 전까지는 임대인과 임차인의 권리와 의무는 유지되는 것으로 한다."" 부분의 의미는 위 임대차계약의 해지를 원인으로 하여 임대차 관계의 청산을 구하는 소송에서 임대차계약이 적법하게 해지되었음을 이유로 임차목적물 반환 등 임대차 관계의 청산을 명하는 판결이 선고되더라도 판결이 확정될 때까지는 기존 임대차 관계를 유지하되 확정 후에 그 판결을 집행한다는 것일 뿐, 위와 같은 소송에서 판결이 확정될 때까지 임차인이 임대인의 임차목적물 반환청구를 거절할 수 있는 권능을 가진다는 의미로 해석할 수 없다고 한 사례."
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,17,0.6890225410461426,67646,
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,18,0.6890225410461426,67649,
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,19,0.6872106194496155,197932,
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,20,0.6868681907653809,219821,"2020. 8. 15. 종료되는 임대차계약의 임차인인 甲 등이 2020. 7. 9. 및 2020. 7. 31. 임대인에게 계약갱신을 요구하였는데, 이에 따라 임대차계약이 주택임대차보호법 제6조의3에 따른 갱신요구로 갱신되었는지 문제 된 사안에서, 2020. 7. 31. 법률 제17470호로 개정된 주택임대차보호법에서 신설한 제6조의3 제1항(이하 ‘개정규정’이라고 한다)은 부칙(2020. 7. 31.) 제2조 제1항에 따라 개정법 시행 당시 존속 중인 임대차에 대하여도 적용되므로 2020. 8. 15. 종료되는 위 임대차계약에도 개정규정이 적용되나, 개정규정은 제6조 제1항 전단의 기간, 즉 임대차기간이 끝나기 6개월 전부터 1개월 전까지의 기간 이내에 계약갱신을 요구할 경우 적용되는 것이므로, 甲 등이 위 기간이 지난 후인 2020. 7. 31. 계약갱신을 요구한 것은 효력이 없고, 위 기간 내인 2020. 7. 9. 계약갱신을 요구한 것은 개정규정 시행 전의 사실행위로서 개정규정에 따른 계약갱신 요구로 볼 수 없다고 한 원심판단을 수긍한 사례."
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,21,0.6863616704940796,147076,"[1] 임대차계약에 있어서 임차인이 목적물을 임대차 본래의 목적에 맞게 사용·수익하게 할 임대인의 의무는 임차인의 차임지급의무와 상호 대등관계에 있다. 따라서 임대인이 목적물에 대한 수선의무를 불이행하여 임차인이 목적물을 전혀 사용할 수 없는 경우에는 임차인은 차임 전부의 지급을 거절할 수 있다. [2] 법률상의 원인 없이 이득하였음을 이유로 한 부당이득의 반환에 있어 이득이라 함은 실질적인 이익을 의미하므로, 임차인이 임대차계약관계가 소멸한 이후에도 임차건물부분을 계속 점유하기는 하였으나 이를 본래의 임대차계약상의 목적에 따라 사용·수익하지 아니하여 실질적인 이득을 얻지 않은 경우에는 그로 인하여 임대인에게 손해가 발생하였다 하더라도 임차인의 부당이득반환의무는 성립하지 않는다. [3] 임대차계약의 종료에 따른 임차인의 임차목적물반환의무와 임대인의 연체차임을 공제한 나머지 임차보증금 반환의무는 동시이행의 관계에 있으므로, 임대인이 임차인에게 위 보증금반환의무를 이행하였다거나 그 현실적인 이행의 제공을 하여 임차인의 건물명도의무가 지체에 빠지는 등의 사유로 동시이행항변권을 상실하게 되었다는 점에 관하여 임대인의 주장·입증이 없는 한, 임차인의 위 건물에 대한 점유는 불법점유라고 할 수 없으며, 따라서 임차인으로서는 이에 대한 손해배상의무도 없다. [4] 임차인은 임대차계약이 종료한 경우에는 임차목적물을 원상에 회복하여 임대인에게 반환할 의무가 있는데, 원상으로 회복한다고 함은 사회통념상 통상적인 방법으로 사용·수익을 하여 그렇게 될 것인 상태라면 사용을 개시할 당시의 상태보다 나빠지더라도 그대로 반환하면 무방하다는 것으로, 임차인이 통상적인 사용을 한 후에 생기는 임차목적물의 상태 악화나 가치의 감소를 의미하는 통상의 손모(損耗)에 관하여는 임차인의 귀책사유가 없으므로 그 원상회복비용은 채권법의 일반원칙에 비추어 특약이 없는 한 임대인이 부담한다고 해야 한다. 즉, 임대차계약은 임차인에 의한 임차목적물의 사용과 그 대가로서 임료의 지급을 내용으로 하는 것이고, 임차목적물의 손모의 발생은 임대차라고 하는 계약의 본질상 당연하게 예정되어 있다. 이와 같은 이유로 건물의 임대차에서는 임차인이 사회통념상 통상적으로 사용한 경우에 생기는 임차목적물의 상태가 나빠지거나 또는 가치 감소를 의미하는 통상적인 손모에 관한 투하자본의 감가는 일반적으로 임대인이 감가상각비나 수선비 등의 필요경비 상당을 임료에 포함시켜 이를 지급받음으로써 회수하고 있다. 따라서 건물의 임차인에게 건물임대차에서 생기는 통상의 손모에 관해 원상회복의무를 부담시키는 것은 임차인에게 예상하지 않은 특별한 부담을 지우는 것이 되므로 임차인에게 그와 같은 원상회복의무를 부담시키기 위해서는 적어도 임차인이 원상회복을 위해 그 보수비용을 부담하게 되는 손모의 범위가 임대차계약서의 조항 자체에서 구체적으로 명시되어 있거나 그렇지 아니하고 임대차계약서에서 분명하지 않은 경우에는 임대인이 말로써 임차인에게 설명하여 임차인이 그 취지를 분명하게 인식하고 그것을 합의의 내용으로 하였다고 인정되는 등 그와 같은 취지의 특약이 명확하게 합의되어 있어야 할 필요가 있다고 해석함이 상당하다. [5] 임대차 종료시 임차인의 원상회복의무 지체로 인하여 임대인이 입은 손해는 이행지체일로부터 임대인이 실제로 원상회복을 완료한 날까지의 임대료 상당액이 아니라 임대인 스스로 원상회복을 할 수 있었던 기간까지의 임대료 상당액이다."
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,22,0.686241090297699,190645,"[1] 당사자 사이에 계약의 해석을 둘러싸고 이견이 있어 처분문서에 나타난 당사자의 의사해석이 문제되는 경우에 그 해석은 문언의 내용, 그와 같은 약정이 이루어진 동기와 경위, 약정에 의하여 달성하려는 목적, 당사자의 진정한 의사 등을 종합적으로 고찰하여 논리와 경험칙에 따라 합리적으로 해석하여야 한다. [2] 통상 권리금은 새로운 임차인으로부터만 지급받을 수 있을 뿐이고 임대인에 대하여는 지급을 구할 수 없는 것이므로 임대인이 임대차계약서의 단서 조항에 권리금액의 기재 없이 단지 '모든 권리금을 인정함'이라는 기재를 하였다고 하여 임대차 종료시 임차인에게 권리금을 반환하겠다고 약정하였다고 볼 수는 없고, 단지 임차인이 나중에 임차권을 승계한 자로부터 권리금을 수수하는 것을 임대인이 용인하고, 나아가 임대인이 정당한 사유 없이 명도를 요구하거나 점포에 대한 임대차계약의 갱신을 거절하고 타에 처분하면서 권리금을 지급받지 못하도록 하는 등으로 임차인의 권리금 회수 기회를 박탈하거나 권리금 회수를 방해하는 경우에 임대인이 임차인에게 직접 권리금 지급을 책임지겠다는 취지로 해석해야 할 것이라고 한 사례."
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,23,0.6855013370513916,203156,"가. 계약의 합의해제 또는 해제계약이라 함은 해제권의 유무를 불문하고 계약당사자 쌍방이 합의에 의하여 기존의 계약의 효력을 소멸시켜 당초부터 계약이 체결되지 않았던 것과 같은 상태로 복귀시킬 것을 내용으로 하는 새로운 계약으로서, 계약이 합의해제되기 위하여는 일반적으로 계약이 성립하는 경우와 마찬가지로 계약의 청약과 승낙이라는 서로 대립하는 의사표시가 합치될 것(합의)을 그 요건으로 하는바, 이와 같은 합의가 성립하기 위하여는 쌍방당사자의 표시행위에 나타난 의사의 내용이 객관적으로 일치하여야 되는 것이다. 나. 계약을 합의해제할 때에 원상회복에 관하여 반드시 약정을 하여야 하는 것은 아니지만, 임대차계약을 합의해제하는 경우에 이미 지급된 임차보증금의 반환에 관하여는 아무런 약정도 하지 아니한 채 임대차계약을 해제하기만 하는 것은 우리의 경험칙에 비추어 이례에 속하는 일이다."
